Name;Address;Datatype;Description;Enhet;Meas interval;Meas unit;New tag
PPU60_02_00_DRIFTSKLAR;D904.C;BOOL;PPU60_02_00 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU60_02_00_DRIFTSKLAR
PPU60_02_00_F_REF;D4804;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU60_02_00_F_REF
PPU70_01_01_ACC_CURR;D674;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU70_01_01_ACC_CURR
PPU70_01_01_ACC_SPEED;D672;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU70_01_01_ACC_SPEED
PPU70_01_01_DRIFTSKLAR;D904.F;BOOL;PPU70_01_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU70_01_01_DRIFTSKLAR
PPU70_01_01_F_REF;D4797;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU70_01_01_F_REF
PPU70_02_01_ACC_CURR;D686;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU70_02_01_ACC_CURR
PPU70_02_01_ACC_SPEED;D684;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU70_02_01_ACC_SPEED
PPU70_02_01_DRIFTSKLAR;D905.0;BOOL;PPU70_02_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU70_02_01_DRIFTSKLAR
PPU70_02_01_F_REF;D4798;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU70_02_01_F_REF
PPU72_01_01_ACC_CURR;D710;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU72_01_01_ACC_CURR
PPU72_01_01_ACC_SPEED;D708;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU72_01_01_ACC_SPEED
PPU72_01_01_DRIFTSKLAR;D905.2;BOOL;PPU72_01_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU72_01_01_DRIFTSKLAR
PPU72_02_01_ACC_CURR;D722;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU72_02_01_ACC_CURR
PPU72_02_01_ACC_SPEED;D720;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU72_02_01_ACC_SPEED
PPU72_02_01_DRIFTSKLAR;D905.3;BOOL;PPU72_02_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU72_02_01_DRIFTSKLAR
PPU80_01_01_ACC_CURR;D734;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU80_01_01_ACC_CURR
PPU80_01_01_ACC_SPEED;D732;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU80_01_01_ACC_SPEED
PPU80_01_01_DRIFTSKLAR;D905.4;BOOL;PPU80_01_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU80_01_01_DRIFTSKLAR
PPU80_01_01_F_REF;D4814;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU80_01_01_F_REF
PPU80_02_01_ACC_CURR;D746;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU80_02_01_ACC_CURR
PPU80_02_01_ACC_SPEED;D744;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU80_02_01_ACC_SPEED
PPU80_02_01_DRIFTSKLAR;D905.5;BOOL;PPU80_02_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU80_02_01_DRIFTSKLAR
PPU80_02_01_F_REF;D4799;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU80_02_01_F_REF
PPU80_03_01_ACC_CURR;D758;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU80_03_01_ACC_CURR
PPU80_03_01_ACC_SPEED;D756;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU80_03_01_ACC_SPEED
PPU80_03_01_DRIFTSKLAR;D905.6;BOOL;PPU80_03_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU80_03_01_DRIFTSKLAR
PPU80_03_01_F_REF;D4815;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU80_03_01_F_REF
PPU90_01_01_ACC_CURR;D770;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU90_01_01_ACC_CURR
PPU90_01_01_ACC_SPEED;D768;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU90_01_01_ACC_SPEED
PPU90_01_01_DRIFTSKLAR;D905.7;BOOL;PPU90_01_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU90_01_01_DRIFTSKLAR
PPU90_02_01_ACC_CURR;D782;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU90_02_01_ACC_CURR
PPU90_02_01_ACC_SPEED;D780;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU90_02_01_ACC_SPEED
PPU90_02_01_DRIFTSKLAR;D905.8;BOOL;PPU90_02_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU90_02_01_DRIFTSKLAR
PPU90_02_01_F_REF;D4808;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU90_02_01_F_REF
PPU92_01_00_D;X14F;BOOL;Kylvattenpump Drift;Av/på;0;Ved Endring;P_THP_PPU92_01_00_D
PPU92_02_00_D;X153;BOOL;Kylvattenpump Drift;Av/på;0;Ved Endring;P_THP_PPU92_02_00_D
PS01_01_01;X58;BOOL;Tryckvakt  ;Av/på;0;Ved Endring;P_THP_PS01_01_01
PS01_02_01;X59;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS01_02_01
PS03_01_01;XC8;BOOL;Tryckvakt septik ;Av/på;0;Ved Endring;P_THP_PS03_01_01
PS03_01_02;XC9;BOOL;Tryckvakt septik ;Av/på;0;Ved Endring;P_THP_PS03_01_02
PS04_01_02;X7D;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS04_01_02
PS04_02_02;X7E;BOOL;Tryckvakt ;Av/på;0;Ved Endring;P_THP_PS04_02_02
